Country,2015exports,2015imports,dist,GDP,inEU,inCommonwealth,log(GDP/distance),log( (GDP_i * GDP_j)/distance),log(exports)
Georgia,28,59,2986.0587935274602,25172.0,False,False,0.9745043569512695,7.43076165024475,1.462397997898956
Ghana,222,190,4332.059722046861,75996.0,False,True,1.2681728417518623,7.749038580483736,2.3483048630481607
Greenland,0,0,1414.2741174312803,0.0,False,False,0.0,-inf,0.0
Gambia,0,2,4109.62795586349,2172.0,False,True,0.18426970368858217,6.227999595503952,0.0
Guinea,12,0,4178.58631324465,19745.0,False,False,0.7577969065623091,7.1793700422661795,1.1139433523068367
Equatorial Guinea,11,259,5271.123419947279,16877.0,False,False,0.62343374988487,7.010334346947461,1.0791812460476249
Greece,731,627,1891.2986487629898,222008.0,False,False,2.073292620903029,8.574550793758057,2.864511081058392
Guatemala,18,69,7837.16556878878,91318.0,False,False,1.102156322238024,7.571339651025652,1.2787536009528289
Guam,1,0,11208.8548975635,0.0,False,False,0.0,-inf,0.3010299956639812
Guyana,7,51,6776.75241066703,14839.0,False,True,0.5037487383099609,6.845325297507263,0.9030899869919435
Hong Kong,5805,6288,,368373.0,False,False,,,3.763877031495655
Honduras,2,116,7688.044558876609,30568.0,False,False,0.6968841728377444,7.104393414514211,0.47712125471966244
Croatia,59,56,1097.45083549936,69380.0,False,False,1.8076651138164945,8.30579150365,1.7781512503836436
Haiti,1,0,6547.21459203533,20182.0,False,False,0.610929622061845,6.993849907825622,0.3010299956639812
Hungary,1107,2415,1155.0515093183099,184651.0,False,False,2.2064585024604804,8.708692593636542,3.044539760392411
Indonesia,359,982,9726.47757422286,1289429.0,False,False,2.125705538956239,8.627384125330845,2.5563025007672873
Republic of Ireland,16610,12324,0.0,519776.0,True,False,inf,inf,4.2203957782315955
Israel,916,891,3388.6207550795802,527179.0,False,False,2.194717775986385,8.69687741703064,2.962369335670021
India,3909,5935,5887.1077036343795,3468566.0,False,True,2.7709844734534985,9.275190263071119,3.5921767573958667
Iraq,221,50,3547.8212913375105,282876.0,False,False,1.9070473988364642,8.406576648164705,2.346352974450639
Iran,62,15,3524.14801241677,1973738.0,False,False,2.749010112194263,9.253177643930673,1.7993405494535817
Iceland,128,429,791.32336357054,27702.0,False,False,1.5563891184903311,8.049099418225875,2.110589710299249
Italy,8241,15451,713.8862329742179,1996934.0,False,False,3.4468899332402514,9.951676986165378,3.9160326101885694
Jamaica,17,31,6978.0903874205105,16104.0,False,True,0.519538546774119,6.868139452916517,1.255272505103306
